OID_,Join_Count,TARGET_FID,ADDEDBY,ADDTOGIS,ARMLENGTH1_DESC,ARMLENGTH2_DESC,ARMSTYLE_DESC,ASSETSTATUS_DESC,ASSETTYPE,CCT_DESC,CONDITION_DESC,CROSSSTREET,FACILITYID,FEEDMANHOLE_DESC,FIXTURESTYLE_DESC,GLOBALID,HOUSENO,INOPERATION,ISMETERED_DESC,ISMODIFIED_DESC,LASTMODIFIED,LASTPAINTED,LEDINOPERATION,LIGHTHISTORY,LIGHTMANUFACTURER_DESC,LIGHTTYPE_DESC,NUMBERLIGHTS,NUMBERARMS_DESC,OTHEREQUIPMENT,OWNER_DESC,PEPCOLIGHTID,POLECOLOR_DESC,POLECOMPOSITION_DESC,POLEHEIGHT_DESC,POLETYPE_DESC,POWERFEED_DESC,PROXIMITY_DESC,QUADRANT_DESC,RMS_DESC,ROADCLASSIFICATION_DESC,SHIELD_DESC,STREETLIGHTID,STREETNAME,STREETSEGMID,TBASETYPE_DESC,TRAFFICCOMBO,WARD,WATTAGE1,WATTAGE2,WHATMODIFIED,WHYINACTIVE,SUBBLOCKKEY,XCOORD,YCOORD,GIS_ID,CREATOR,CREATED,EDITOR,EDITED,geoName,customGeo,centrLat,centrLon,sqmi,destin,dest_sqmi
22870,1,12670371,Osmose,7/24/2007 0:00:00,3,N/A,Regular Alley,Active,2,N/A,,G ST,22712,,Cobrahead Semi Cutoff,,700,,Not Metered,NO,,,,7/20/2016 Correct asset location.,General Electric,HPS-High Pressure Sodium,1,1,YES,DDOT,N/A,,Steel,28 ft,5A,Underground,Side,NW,Not Controlled,Local,None,22712,13TH ST,7009,None,NO,2,100,N/A,N/A,N/A,6f5cfe500196f46c173bd937c961abef,-77.029986719999997,38.899037329999999,,,,,,Metro Center / 15th Street,Metro Center / 15th Street,38.897799999999997,-77.028099999999995,0.198000000000000,36833,185980.587599999998929
22871,1,12670372,Osmose,7/24/2007 0:00:00,3,N/A,Regular Alley,Active,2,N/A,,13TH ST,22714,,Cobrahead Semi Cutoff,,1325,,Not Metered,NO,,,,7/18/2016 Correct asset location.,General Electric,HPS-High Pressure Sodium,1,1,NO,DDOT,N/A,,Steel,28 ft,5A,Underground,Rear,NW,Not Controlled,Local,None,22714,G ST,1140,None,NO,2,100,N/A,N/A,N/A,6f5cfe500196f46c173bd937c961abef,-77.030862839999998,38.899028090000002,,,,,,Metro Center / 15th Street,Metro Center / 15th Street,38.897799999999997,-77.028099999999995,0.198000000000000,36833,185980.587599999998929
22971,1,12670473,Osmose,4/19/2007 0:00:00,N/A,N/A,N/A,Active,1,N/A,,F ST,60022,,Posttop,,520,,Not Metered,NO,,,,7/28/2016 Correct asset location.,General Electric,HPS-High Pressure Sodium,2,N/A,NO,DDOT,N/A,,Cast Iron,20 ft,TW20,Underground,Front,NW,Not Controlled,Principal Arterial,None,60022,NORTH CAPITOL ST,1413,N/A,NO,6,400,400,N/A,N/A,2a8d4d89c3a526b245aed2b18e545b50,-77.009155289999995,38.897004930000001,,,,,,Downtown East / Judiciary Square,Downtown East / Judiciary Square,38.896200000000000,-77.014200000000002,0.312000000000000,17253,55306.848599999997532
22972,1,12670474,Osmose,4/25/2007 0:00:00,N/A,N/A,N/A,Active,1,N/A,,5TH ST,60621,,Posttop,,441,,Not Metered,NO,,,,7/22/2016 Correct asset location.,General Electric,HPS-High Pressure Sodium,2,N/A,YES,DDOT,N/A,,Cast Iron,20 ft,TW20,Underground,Opposite,NW,Not Controlled,Collector,None,60621,G ST,11475,N/A,NO,6,400,400,N/A,N/A,5f74c1bc3093c156891fc7679acd98ee,-77.018101110000003,38.898247040000001,,,,,,Downtown East / Judiciary Square,Downtown East / Judiciary Square,38.896200000000000,-77.014200000000002,0.312000000000000,17253,55306.848599999997532
22973,1,12670475,Tugril DBI,10/1/2014 0:00:00,8,N/A,Decorated Wrap,Active,1,3000,Good Condition,2ND ST,6U101,DDOT,Teardrop,,0,6/7/2013 0:00:00,Not Metered,YES,4/18/2018 0:00:00,4/18/2018 0:00:00,4/18/2018 0:00:00,<Null>,King Luminaire,LED-Light Emitting Diode,1,1,NO,DDOT,N/A,Black,Steel,28 ft,PP,Underground,SE Corner,NW,Not Controlled,Principal Arterial,None,6U101,H ST,5763,Non-Breakaway,YES,6,200,N/A,"250H to 200L. PP 6A212 replaced with arm, relocate",N/A,9873e05ab1473af2d9d1a2a86eb5b4c1,-77.013501820000002,38.900112389999997,,,,,,Downtown East / Judiciary Square,Downtown East / Judiciary Square,38.896200000000000,-77.014200000000002,0.312000000000000,17253,55306.848599999997532
23009,1,12670511,Osmose,4/22/2007 0:00:00,8,N/A,Simple Pendant,Active,1,N/A,Good Condition,2ND ST,60221,,Cobrahead Cutoff,,0,,Not Metered,YES,10/31/2019 0:00:00,10/31/2019 0:00:00,,7/25/2016 Correct asset location.,General Electric,HPS-High Pressure Sodium,1,1,NO,DDOT,N/A,Black,Steel,28 ft,PP,Underground,NW Corner,NW,Not Controlled,Minor Arterial,None,60221,E ST,2107,Non-Breakaway,YES,6,250,N/A,PP relocated.,N/A,6318b38c1bcd94b00326c20f3de496a2,-77.013812329999993,38.896247770000002,,,,,,Downtown East / Judiciary Square,Downtown East / Judiciary Square,38.896200000000000,-77.014200000000002,0.312000000000000,17253,55306.848599999997532
23011,1,12670513,Osmose,5/2/2007 0:00:00,N/A,N/A,N/A,Active,1,N/A,,6TH ST,61039,,Posttop,,501,,Not Metered,NO,,,,7/22/2016 Correct asset location.,General Electric,HPS-High Pressure Sodium,2,N/A,NO,DDOT,N/A,,Cast Iron,20 ft,TW20,Underground,Opposite,NW,Not Controlled,Collector,None,61039,C ST,10438,N/A,NO,6,400,400,N/A,N/A,7187399466e69d018afcd626aedbe717,-77.018157549999998,38.893535649999997,,,,,,Downtown East / Judiciary Square,Downtown East / Judiciary Square,38.896200000000000,-77.014200000000002,0.312000000000000,17253,55306.848599999997532
23012,1,12670514,Osmose,4/22/2007 0:00:00,N/A,N/A,N/A,Active,1,N/A,,5TH ST,60193,,Posttop,,450,,Not Metered,YES,3/12/2009 0:00:00,3/12/2009 0:00:00,,7/22/2016 Correct asset location.,General Electric,HPS-High Pressure Sodium,1,N/A,NO,DDOT,N/A,,Cast Iron,16 ft,Upright,Underground,Front,NW,Not Controlled,Minor Arterial,None,60193,E ST,10275,N/A,NO,6,250,N/A,400H to 250H. Pole replaced.,N/A,0bd27ed4272944f686dc36583770d6d2,-77.018100550000000,38.896076020000002,,,,,,Downtown East / Judiciary Square,Downtown East / Judiciary Square,38.896200000000000,-77.014200000000002,0.312000000000000,17253,55306.848599999997532
23024,1,12670526,Osmose,7/21/2007 0:00:00,3,N/A,Regular Alley,Active,2,N/A,,19TH ST,24749,,Cobrahead Cutoff,,1830,,Not Metered,NO,,,,7/8/2016 Correct asset location.,General Electric,HPS-High Pressure Sodium,1,1,NO,DDOT,N/A,,Steel,28 ft,5A,Underground,Rear,NW,Not Controlled,Local,None,24749,JEFFERSON PL,528,None,NO,2,100,N/A,N/A,N/A,1b6c2c4bd7860aa2bcd94a46120f321b,-77.042948469999999,38.906077820000000,,,,,,Dupont Circle,Dupont Circle,38.908700000000003,-77.044600000000003,0.192300000000000,28687,149193.469699999986915
23105,1,12670610,Osmose,4/24/2007 0:00:00,N/A,N/A,N/A,Active,1,N/A,,G ST,60443,,Posttop,,601,,Not Metered,NO,,,,7/25/2016 Correct asset location.,General Electric,HPS-High Pressure Sodium,1,N/A,NO,DDOT,N/A,,Cast Iron,16 ft,Upright,Underground,Front,NW,Not Controlled,Collector,None,60443,4TH ST,2167,N/A,NO,6,400,N/A,N/A,N/A,a3c0c5485fef8d3e3472f0dfe40d67a5,-77.016118250000005,38.897986090000003,,,,,,Downtown East / Judiciary Square,Downtown East / Judiciary Square,38.896200000000000,-77.014200000000002,0.312000000000000,17253,55306.848599999997532
