OID_,MERGE_SRC,geoName,SHAPE_Length,SHAPE_Area,Area,Acres
24,T_Mobile_LTE_Data_Clip,Gallery Place / Chinatown,0.042258396165958,0.000055326601575,131.660609507999993,131.660628334627233
25,T_Mobile_LTE_Data_Clip,McPherson Square / Franklin Park,0.035735012636880,0.000062626987159,149.026271747999999,149.026298882415574
26,T_Mobile_LTE_Data_Clip,Metro Center / 15th Street,0.031705054898954,0.000053304858825,126.851967829000003,126.851961779116394
27,T_Mobile_LTE_Data_Clip,West End,0.020009485588983,0.000021786414208,51.840855654199999,51.840858410622040
28,T_Mobile_LTE_Voice_Clip,Downtown East / Judiciary Square,0.038452085566841,0.000083960187562,199.808325402999998,199.808316907664192
29,T_Mobile_LTE_Voice_Clip,Dupont Circle,0.034752981461493,0.000051760506603,123.158179722000000,123.158183634285635
30,T_Mobile_LTE_Voice_Clip,Farragut Square / 19th Street,0.037946702232274,0.000072269701003,171.971267767999990,171.971333308527136
31,T_Mobile_LTE_Voice_Clip,Federal Triangle,0.035766125075332,0.000033696120940,80.193018380400005,80.193017907593173
32,T_Mobile_LTE_Voice_Clip,Foggy Bottom,0.035881008336076,0.000069317179687,164.958272356999998,164.958258098064022
33,T_Mobile_LTE_Voice_Clip,Gallery Place / Chinatown,0.042258396165958,0.000055326601575,131.660609507999993,131.660628334627233
34,T_Mobile_LTE_Voice_Clip,McPherson Square / Franklin Park,0.035735012636880,0.000062626987159,149.026271747999999,149.026298882415574
35,T_Mobile_LTE_Voice_Clip,Metro Center / 15th Street,0.031705054898954,0.000053304858825,126.851967829000003,126.851961779116394
36,T_Mobile_LTE_Voice_Clip,West End,0.020009485588983,0.000021786414208,51.840855654199999,51.840858410622040
37,Verizon_LTE_Data_Clip,Downtown East / Judiciary Square,0.007368073069141,0.000000258935255,199.808325402999998,0.616246839527851
38,Verizon_LTE_Data_Clip,Downtown East / Judiciary Square,0.003676942171404,0.000000015961749,199.808325402999998,0.037983913902222
39,Verizon_LTE_Data_Clip,Downtown East / Judiciary Square,0.038351338898941,0.000083673588337,199.808325402999998,199.126236568834599
40,Verizon_LTE_Data_Clip,Dupont Circle,0.048465104117398,0.000051741154040,123.158179722000000,123.112136694601475
41,Verizon_LTE_Data_Clip,Dupont Circle,0.000749974197429,0.000000005064976,123.158179722000000,0.012050590110757
42,Verizon_LTE_Data_Clip,Farragut Square / 19th Street,0.073811555858755,0.000072188950207,171.971267767999990,171.779175750600473
43,Verizon_LTE_Data_Clip,Federal Triangle,0.035766125075332,0.000033696120940,80.193018380400005,80.193017907593173
44,Verizon_LTE_Data_Clip,Foggy Bottom,0.037420332426392,0.000069313564528,164.958272356999998,164.949654932898682
45,Verizon_LTE_Data_Clip,Gallery Place / Chinatown,0.036364403440480,0.000045486750969,131.660609507999993,108.246555150211435
46,Verizon_LTE_Data_Clip,Gallery Place / Chinatown,0.018251871078772,0.000009832630633,131.660609507999993,23.396892197920490
47,Verizon_LTE_Data_Clip,McPherson Square / Franklin Park,0.037253412511177,0.000062612775148,149.026271747999999,148.992479152314559
48,Verizon_LTE_Data_Clip,Metro Center / 15th Street,0.031705054898954,0.000053304858825,126.851967829000003,126.851961779116394
49,Verizon_LTE_Data_Clip,West End,0.025000344879292,0.000021770531288,51.840855654199999,51.803063535386194
50,Verizon_LTE_Voice_Clip,Downtown East / Judiciary Square,0.037259875955081,0.000076779447645,199.808325402999998,182.718898036865767
51,Verizon_LTE_Voice_Clip,Downtown East / Judiciary Square,0.003676941176599,0.000000015961750,199.808325402999998,0.037983916026098
52,Verizon_LTE_Voice_Clip,Dupont Circle,0.048169182802007,0.000051741528071,123.158179722000000,123.113026897422571
53,Verizon_LTE_Voice_Clip,Dupont Circle,0.000749974197429,0.000000005064976,123.158179722000000,0.012050590110757
54,Verizon_LTE_Voice_Clip,Farragut Square / 19th Street,0.073890931607478,0.000070084610608,171.971267767999990,166.771500386694044
55,Verizon_LTE_Voice_Clip,Federal Triangle,0.001775301710325,0.000000014806417,80.193018380400005,0.035236609753754
56,Verizon_LTE_Voice_Clip,Foggy Bottom,0.036983719288834,0.000068476635200,164.958272356999998,162.957891478956327
57,Verizon_LTE_Voice_Clip,Gallery Place / Chinatown,0.035353299442323,0.000045187394583,131.660609507999993,107.534118708789507
58,Verizon_LTE_Voice_Clip,Gallery Place / Chinatown,0.009956944122117,0.000001626860449,131.660609507999993,3.871192282203100
59,Verizon_LTE_Voice_Clip,Gallery Place / Chinatown,0.012777782578158,0.000008202723882,131.660609507999993,19.518451190244104
60,Verizon_LTE_Voice_Clip,McPherson Square / Franklin Park,0.037019072708175,0.000060379983452,149.026271747999999,143.679125149992160
61,Verizon_LTE_Voice_Clip,Metro Center / 15th Street,0.030910636143982,0.000051128387945,126.851967829000003,121.672366285914933
62,Verizon_LTE_Voice_Clip,West End,0.024789997843721,0.000021775476445,51.840855654199999,51.814831016233995
