name,time,day,utilization,lon,lat,geometry,Subarea,Shape_Leng,Shape_Area
10th & G St NW,4,4,0.21739130434782608,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,4,6,0.12173913043478261,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,5,4,0.21739130434782608,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,5,6,0.12173913043478261,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,6,4,0.21014492753623187,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,6,6,0.12173913043478261,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,7,4,0.18115942028985507,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,7,6,0.1217391304347826,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,8,4,0.17391304347826086,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,8,6,0.1826086956521739,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,9,4,0.44202898550724634,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,9,6,0.25217391304347825,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,10,4,0.6376811594202898,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,10,6,0.2608695652173913,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,11,4,0.6376811594202898,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,11,6,0.22608695652173913,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,12,4,0.6594202898550725,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,12,6,0.33043478260869563,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,13,4,0.644927536231884,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,13,6,0.3391304347826087,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,14,4,0.6014492753623188,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,14,6,0.3826086956521739,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,15,4,0.6376811594202898,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,15,6,0.34782608695652173,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,16,4,0.5434782608695652,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,16,6,0.3217391304347826,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,17,4,0.3586956521739131,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
