region_name,state_name,lat_max,lat_min,lng_max,lng_min,lat_avg,lng_avg,yearly_sunlight_kwh_kw_threshold_avg,count_qualified,percent_covered,percent_qualified,number_of_panels_n,number_of_panels_s,number_of_panels_e,number_of_panels_w,number_of_panels_f,number_of_panels_median,number_of_panels_total,kw_median,kw_total,yearly_sunlight_kwh_n,yearly_sunlight_kwh_s,yearly_sunlight_kwh_e,yearly_sunlight_kwh_w,yearly_sunlight_kwh_f,yearly_sunlight_kwh_median,yearly_sunlight_kwh_total,install_size_kw_buckets,carbon_offset_metric_tons,existing_installs_count,center_point
11001000201,District of Columbia,38.91268921,38.90581131,-77.06907654,-77.07965851,38.9093399,-77.0748291,1037,66,96.51162791,79.51807229,92,4059,1411,2377,14626,191,22565,47.75,5641.25,24331.6199,1350468.567,398330.7978,656566.8783,4375825.33,59744.78599,6805523.193,"[[0,9],[5,7],[10,8],[15,1],[20,4],[40,2],[45,2],[50,1],[55,1],[60,2],[65,1],[75,4],[90,1],[95,2],[105,2],[115,2],[130,1],[145,2],[150,1],[155,1],[160,1],[170,1],[180,2],[215,2],[240,1],[255,1],[285,2],[410,1],[480,1]]",4324.642066,0,POINT(-77.0748291015625 38.9093399047852)
11001007903,District of Columbia,38.89889908,38.89329147,-76.96949005,-76.97725677,38.89638519,-76.97432709,1037,204,86.26373626,32.48407643,0,93,51,4,5894,12,6042,3,1510.5,0,31375.43398,14926.76979,1183.380957,1809622.572,3733.9479,1857108.156,"[[0,156],[5,33],[10,6],[15,2],[20,1],[65,3],[90,1],[110,1],[300,1]]",1180.119122,0,POINT(-76.9743270874023 38.8963851928711)
11001003302,District of Columbia,38.91680908,38.91078949,-77.00904083,-77.01426697,38.91388702,-77.01119232,1037,358,94.76584022,52.03488372,0,398,152,159,5401,13,6110,3.25,1527.5,0,131194.9989,42630.9883,44911.32819,1651006.109,3947.965698,1869743.424,"[[0,283],[5,63],[10,7],[15,2],[30,1],[50,1],[55,1]]",1188.148337,0,POINT(-77.0111923217773 38.9138870239258)
11001008100,District of Columbia,38.89735031,38.88980103,-76.990242,-76.99497223,38.89319229,-76.99253082,1037,135,25.98684211,56.96202532,0,188,33,63,2145,14,2429,3.5,607.25,0,60392.68417,8900.224866,16999.51254,649507.5077,4216.58894,735799.9292,"[[0,107],[5,24],[10,1],[15,1],[20,1],[65,1]]",467.5718877,1,POINT(-76.9925308227539 38.8931922912598)
11001010100,District of Columbia,38.9071312,38.89876175,-77.02398682,-77.03655243,38.9026947,-77.03185272,1037,16,11.48648649,94.11764706,0,196,42,14,4761,136,5013,34,1253.25,0,63916.25479,11859.24503,3501.558191,1403254.582,39891.69656,1482531.64,"[[0,1],[5,1],[10,2],[25,1],[30,3],[40,1],[45,1],[75,1],[140,1],[150,1],[155,1],[210,1],[260,1]]",942.0904923,0,POINT(-77.031852722168 38.9026947021484)
11001010800,District of Columbia,38.90229034,38.89210129,-77.03945923,-77.05014038,38.89735031,-77.04460907,1037,9,7.446808511,64.28571429,30,41,0,34,4254,267,4359,66.75,1089.75,7693.195605,13391.41496,0,8882.84054,1271026.155,80105.78882,1300993.606,"[[5,1],[25,1],[30,2],[65,1],[105,1],[150,1],[300,1],[360,1]]",826.7302186,0,POINT(-77.0446090698242 38.8973503112793)
11001008002,District of Columbia,38.89358139,38.88922882,-76.97383881,-76.991539,38.89153671,-76.98275757,,0,0.189393939,0,0,0,0,0,0,13,,3.25,,0,0,0,0,0,3891.000757,,"[[0,339],[5,76],[10,16],[15,9],[20,3],[25,4],[30,1],[50,1],[65,1],[75,1],[90,1],[100,1],[120,1],[145,2]]",0,0,POINT(-76.9827575683594 38.8915367126465)
11001004400,District of Columbia,38.92076874,38.91408157,-77.02188873,-77.03195953,38.91701508,-77.02758789,,0,0.079113924,0,0,0,0,0,0,15,,3.75,,0,0,0,0,0,4570.787012,,"[[0,438],[5,161],[10,14],[15,6],[20,10],[25,7],[30,6],[35,3],[40,2],[45,4],[50,3],[60,1],[70,1],[75,1],[80,2],[90,2],[100,3],[115,1],[125,2],[150,1],[165,1],[175,2],[265,2],[635,1]]",0,0,POINT(-77.027587890625 38.9170150756836)
11001002702,District of Columbia,38.93331909,38.92684174,-77.03646088,-77.05104828,38.93018341,-77.04181671,,0,0.200400802,0,0,0,0,0,0,17,,4.25,,0,0,0,0,0,5154.114453,,"[[0,403],[5,203],[10,21],[15,9],[20,7],[25,4],[30,2],[35,3],[40,1],[45,1],[50,1],[70,1],[115,1],[120,1],[135,1]]",0,0,POINT(-77.0418167114258 38.9301834106445)
11001000100,District of Columbia,38.91902161,38.89175034,-77.05014038,-77.06926727,38.90607834,-77.06078339,,0,0.107874865,0,0,0,0,0,0,18,,4.5,,0,0,0,0,0,5344.240112,,"[[0,610],[5,299],[10,68],[15,26],[20,18],[25,8],[30,6],[35,5],[40,2],[45,8],[50,3],[55,2],[60,2],[70,1],[75,2],[80,1],[85,1],[95,1],[130,1],[135,1],[140,1],[145,2],[155,1],[170,1],[175,1],[190,1],[205,1],[225,1],[240,1],[275,1],[285,1],[290,1],[300,1],[310,2],[380,1],[630,1]]",0,0,POINT(-77.0607833862305 38.9060783386231)
11001004901,District of Columbia,38.9140892,38.90856934,-77.02191162,-77.02703857,38.91133118,-77.02448273,,0,0.666666667,0,0,0,0,0,0,18,,4.5,,0,0,0,0,0,5374.551349,,"[[0,173],[5,78],[10,16],[15,3],[20,3],[25,8],[30,1],[40,3],[55,2],[60,2],[65,2],[85,1],[105,1],[190,1],[210,1],[230,1],[780,1]]",0,0,POINT(-77.0244827270508 38.9113311767578)
11001001100,District of Columbia,38.96730042,38.94649887,-77.06941986,-77.08573151,38.95724487,-77.07766724,,0,0.064850843,0,0,0,0,0,0,19,,4.75,,0,0,0,0,0,5932.170337,,"[[0,510],[5,367],[10,83],[15,21],[20,13],[25,6],[30,5],[35,2],[40,1],[45,4],[50,2],[55,1],[60,3],[65,2],[70,2],[75,2],[80,1],[90,1],[95,1],[110,1],[130,1],[145,1],[150,2],[155,1],[160,1],[185,1],[215,1],[230,1],[245,1],[385,1],[420,1],[500,1],[520,1],[600,1]]",0,0,POINT(-77.0776672363281 38.9572448730469)
11001004002,District of Columbia,38.92266083,38.91437912,-77.04164886,-77.04634857,38.91809845,-77.04373932,,0,0.354609929,0,0,0,0,0,0,19,,4.75,,0,0,0,0,0,5865.862036,,"[[0,84],[5,32],[10,12],[15,16],[20,7],[30,1],[35,3],[40,2],[45,1],[50,1],[55,2],[80,1],[105,1],[165,1],[245,1],[380,1],[410,1]]",0,0,POINT(-77.0437393188477 38.918098449707)
11001007503,District of Columbia,38.86795044,38.86019897,-76.9821701,-76.99240112,38.86398697,-76.98697662,,0,0.162601626,0,0,0,0,0,0,20,,5,,0,0,0,0,0,6074.772778,,"[[0,209],[5,125],[10,33],[15,8],[20,9],[25,3],[30,5],[40,3],[45,2],[50,2],[55,2],[60,3],[65,1],[75,2],[85,1],[90,2],[95,2],[100,3],[105,1],[110,2],[115,1],[120,2],[185,1],[210,2]]",0,0,POINT(-76.9869766235352 38.8639869689941)
11001009504,District of Columbia,38.94628143,38.93389893,-76.98829651,-77.00007629,38.94093323,-76.99308777,,0,0.334075724,0,0,0,0,0,0,20,,5,,0,0,0,0,0,6195.608185,,"[[0,321],[5,270],[10,63],[15,10],[20,4],[25,3],[30,1],[35,2],[40,4],[60,1],[65,1],[70,1],[75,2],[80,1],[90,1],[100,1],[115,1],[125,1],[135,1],[140,1],[165,2],[200,1],[275,1],[280,2],[300,1],[370,1],[380,1],[470,1],[485,1],[490,1]]",0,0,POINT(-76.9930877685547 38.9409332275391)
11001000802,District of Columbia,38.91931915,38.90227127,-77.07801056,-77.1008606,38.91077042,-77.08759308,,0,0.542299349,0,0,0,0,0,0,22,,5.5,,0,0,0,0,0,6529.150592,,"[[0,249],[5,208],[10,61],[15,18],[20,5],[25,6],[30,2],[35,2],[40,2],[45,1],[55,1],[60,1],[65,2],[70,2],[85,2],[95,1],[145,1],[155,1],[315,1],[445,1]]",0,0,POINT(-77.0875930786133 38.9107704162598)
11001011100,District of Columbia,38.93519974,38.89707184,-76.94386292,-76.97910309,38.91611862,-76.96649933,,0,0.055493896,0,0,0,0,0,0,24,,6,,0,0,0,0,0,7181.604553,,"[[0,531],[5,508],[10,136],[15,33],[20,17],[25,13],[30,10],[35,9],[40,10],[45,7],[50,5],[55,2],[60,7],[65,8],[70,3],[75,3],[80,2],[85,3],[90,1],[95,3],[100,4],[110,4],[115,4],[120,4],[130,2],[135,2],[140,2],[145,2],[150,3],[155,2],[160,2],[165,2],[175,2],[180,2],[185,1],[195,2],[205,1],[220,2],[225,1],[230,2],[235,2],[240,2],[245,1],[250,2],[255,1],[265,2],[270,1],[285,1],[300,1],[305,1],[315,1],[325,1],[365,2],[375,1],[390,1],[395,1],[425,1],[440,1],[455,1],[520,1],[630,1],[825,1],[880,1],[900,1],[995,1],[1060,2],[1160,1],[1295,1],[1410,1],[1530,1],[1905,1],[2450,1]]",0,0,POINT(-76.9664993286133 38.9161186218262)
11001007603,District of Columbia,38.86558914,38.85190964,-76.94676208,-76.96819305,38.85910797,-76.9585495,,0,0.337837838,0,0,0,0,0,0,25,,6.25,,0,0,0,0,0,7505.479559,,"[[0,246],[5,309],[10,92],[15,28],[20,2],[25,9],[30,9],[35,5],[40,11],[45,2],[50,3],[55,3],[60,1],[65,1],[70,2],[80,2],[170,1],[320,1]]",0,0,POINT(-76.9585494995117 38.8591079711914)
