lot_id,lot_polygon,lot_geometry,lot_centroid,lot_sqft,BLOCKID10,num_spaces,num_handicap_spaces,has_ev_charging,format,type,category,rate_card,open_hours,operator,weekday_averages,weekend_averages
87349,q`nlFp{guMvA??p@e@@?~@d@??|@s@@CQEMIIOE?cC,"POLYGON((-77.05099 38.90713, -77.05102 38.90705, -77.05107 38.907, -77.05114 38.90697, -77.05123 38.90695, -77.05122 38.90669, -77.05091 38.90669, -77.05091 38.90688, -77.05059 38.90688, -77.05058 38.90669, -77.05033 38.90669, -77.05033 38.90713, -77.05099 38.90713))",POINT(-77.0507475413829 38.9069208204617),31178,110010055003003,50,1,false,Subterranean,Non-restricted,Public Parking,"1 Hour: $11.95, Daily Max: $19.95, Evening (In After 5pm): $12.95, 24 Hours: $23, Monthly: $265-$530, Tax Included","Mon-Fri: 6am-10pm, Sat-Sun: 8am-10pm",Colonial Parking,"30,30,30,30,30,30,30,30,30,28,29,27,26,26,26,25,25,26,27,28,29,29,30,30","29,30,29,29,29,29,29,29,28,26,25,23,22,22,22,22,22,25,25,25,27,28,28,29"
80198,sjmlFliguMdA??XB??j@iA??eA??,"POLYGON((-77.04778 38.90362, -77.04778 38.90325, -77.04756 38.90325, -77.04756 38.90327, -77.04743 38.90327, -77.04743 38.90362, -77.04778 38.90362))",POINT(-77.0476063844727 38.9034402053524),13143,110010107001007,53,0,false,Subterranean,Non-restricted,Public Parking,"1 Hour: $13, Daily Max: $20, 24 Hours: $22, Early Bird (In By 9am): $14, Monthly: $270-$540, Tax Included",Mon-Fri: 6am-7pm,Monument Parking,"33,32,32,32,33,33,33,33,32,31,30,29,28,28,28,26,26,28,30,30,30,31,32,34","33,33,33,33,33,33,33,33,32,29,28,26,25,25,25,24,25,27,28,29,29,30,31,32"
209060,}jllF|nbuMK??MJ??L??????,"POLYGON((-77.02264 38.89855, -77.02264 38.89861, -77.02271 38.89861, -77.02271 38.89855, -77.02264 38.89855))",POINT(-77.022675 38.89858),435,110010058001015,11,0,false,Surface,Event Only,Public Parking,Daily Max: $25,Event Only,U-Street Parking,"7,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7","7,8,8,8,8,8,8,8,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7,7"
219050,{fmlFl~buMt@^?~Ag@?AcAYKLo@,"POLYGON((-77.02543 38.90309, -77.02549 38.90296, -77.02583 38.90295, -77.02583 38.90275, -77.02535 38.90275, -77.02519 38.90302, -77.02543 38.90309))",POINT(-77.0255168988873 38.9028858829221),14272,110010101001000,57,1,true,Subterranean,Valet Only,Public Parking,"Early Bird (In By 8:30am): $18, Daily Max: $24, Monthly: $295",Mon-Fri: 7am-7pm,LAZ Parking,"32,33,34,34,34,34,34,34,34,33,32,31,30,30,30,29,29,30,32,30,31,32,32,33","32,34,34,34,34,34,34,34,34,32,31,29,27,27,27,27,27,29,30,30,30,30,30,31"
26076,cullFbwguM?uB|AAAtB{A@,"POLYGON((-77.04961 38.89972, -77.04902 38.89971, -77.04903 38.90018, -77.04962 38.90018, -77.04961 38.89972))",POINT(-77.0493189427634 38.8999475051647),28411,110010108001005,114,0,true,Subterranean,Permit Only,University,"10 Min: Free, 1 Hour: $10, 2 Hours: $16, Daily Max: $23, Evening (In After 5pm / Out By 2am): $11, Sat-Sun: $12, Rates Reset At 2am, Tax Included",Mon-Sun: 24 Hours,Colonial Parking,"75,74,74,75,75,76,76,76,75,72,68,65,61,61,61,59,59,64,67,67,70,72,74,76","74,76,76,75,75,76,75,75,73,67,61,57,52,52,52,51,53,59,62,63,66,68,69,72"
112974,}gmlFloguM^?i@t@iAA?e@fA@JO,"POLYGON((-77.04847 38.90325, -77.04846 38.90361, -77.04865 38.90361, -77.04866 38.90324, -77.04839 38.90303, -77.04839 38.90319, -77.04847 38.90325))",POINT(-77.0485611 38.9033377),10046,110010107001007,40,1,false,Subterranean,Non-restricted,Public Parking,"1 Hour: $11, Daily Max: $22, Early Bird (In By 9:30am): $15, Monthly: $285-$570",Mon-Sun: 24 Hours,Colonial Parking,"26,26,26,26,26,26,26,26,26,24,23,22,22,22,22,20,21,22,24,23,24,25,26,27","26,27,27,27,27,27,27,26,26,23,22,20,19,19,19,19,20,21,23,22,24,24,25,25"
209089,cmmlFxpeuMI??MH??L????,"POLYGON((-77.0383 38.90402, -77.0383 38.90407, -77.03837 38.90407, -77.03837 38.90402, -77.0383 38.90402))",POINT(-77.0383394 38.9040448),362,110010107001000,11,0,false,Subterranean,Valet Only,Public Parking,Daily Max: $20,Sun: 12pm-1am,U-Street Parking,"7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,5,6,6,6,6,6,6,7,7","7,7,7,7,7,7,7,7,7,7,6,6,5,5,5,5,5,6,6,6,6,6,6,7"
112977,}smlFd{euMR??Qb@@?tAGJo@X?kB,"POLYGON((-77.04057 38.90511, -77.04044 38.90487, -77.04038 38.90483, -77.03995 38.90483, -77.03994 38.90501, -77.04003 38.90501, -77.04003 38.90511, -77.04057 38.90511))",POINT(-77.0402340622837 38.9049724221453),14966,110010107001001,60,0,false,Subterranean,Non-restricted,Public Parking,"1 Hour: $17, 12 Hours: $25, 24 Hours: $35, Monthly: $302-$604",Mon-Sun: 24 Hours,Parking Management,"40,43,43,43,43,44,44,43,44,43,41,41,38,38,38,36,36,39,38,36,37,37,39,38","43,45,44,44,45,45,45,46,46,44,43,40,37,37,37,35,36,39,39,38,39,40,40,40"
80159,qymlFvmeuMY?UmCxAA?~@i@??nA????,"POLYGON((-77.03748 38.90601, -77.03748 38.9058, -77.03716 38.9058, -77.03717 38.90625, -77.03788 38.90614, -77.03788 38.90601, -77.03748 38.90601))",POINT(-77.0373667 38.9060262),20579,110010107002016,83,0,false,Subterranean,Non-restricted,Public Parking,"1 Hour: $19, 2 Hours: $22, 24 Hours: $27, Evening (In After 5pm): $15, Monthly: $287-$574",Mon-Fri: 6am-12am,PMI,"56,56,56,56,57,57,57,57,57,56,54,52,50,50,50,47,46,48,51,51,53,55,56,58","57,58,58,57,57,58,57,58,56,54,51,48,45,44,44,43,43,46,49,49,51,53,54,55"
80174,ymmlFdmfuM?[p@??rAcA??w@P?,"POLYGON((-77.04291 38.90422, -77.04319 38.90422, -77.04319 38.90388, -77.04277 38.90388, -77.04277 38.90413, -77.04291 38.90413, -77.04291 38.90422))",POINT(-77.0429935483871 38.9040379032258),13485,110010107001015,88,0,false,Subterranean,Non-restricted,Public Parking,"1 Hour: $12, Daily Max: $18, Early Bird (In By 10am): $11, Monthly: $280-$560",,Impark,"53,54,54,54,56,57,57,57,56,55,53,52,50,50,50,47,48,51,53,51,52,54,55,54","54,56,55,55,56,57,57,57,56,54,51,48,46,46,46,45,46,50,51,50,51,53,54,52"
24163,ikmlFv~auM~AvF{C@@wFx@A??,"POLYGON((-77.02013 38.90402, -77.02137 38.90403, -77.02136 38.90325, -77.02012 38.90373, -77.02013 38.90402))",POINT(-77.0208006193722 38.9037486358664),68952,110010048022006,467,0,true,Subterranean,Non-restricted,Public Parking,"Daily Max: $17, Early Bird (In Between 6:30am-10am): $12, Super Early Bird (In By 6:30am): $10, Evening (Mon-Fri; In After 3pm): $9, Sat-Sun: $9, Monthly: $290",Mon-Sun: 7am-11pm,Impark,"308,310,314,314,316,318,318,313,313,312,304,292,279,278,279,270,269,285,293,286,293,299,305,312","305,316,316,312,312,312,312,310,306,300,291,271,256,255,255,252,254,270,278,274,280,286,289,296"
24453,a`llF|}`uM?GK??q@j@??L^??M^A?FJA?nA_A?k@Y,"POLYGON((-77.015 38.89659, -77.015 38.89627, -77.0146 38.89627, -77.01461 38.89633, -77.01457 38.89633, -77.01458 38.89649, -77.01465 38.89649, -77.01465 38.89665, -77.01458 38.89665, -77.01458 38.89687, -77.01483 38.89687, -77.01483 38.89681, -77.01487 38.89681, -77.015 38.89659))",POINT(-77.0147827040816 38.8965473438466),22332,110010059001030,90,0,false,Subterranean,Non-restricted,Public Parking,"1 Hour: $16, Daily Max: $24, Monthly: $310, Tax Included",Mon-Fri: 7am-7pm,SP Plus,"54,51,51,51,52,52,52,52,52,53,51,50,48,48,48,46,47,50,52,51,52,52,53,54","54,53,53,52,52,52,52,52,51,50,47,45,44,44,44,43,45,48,51,50,51,51,52,53"
80170,qlmlFh`fuM]?Kc@OFK_@z@e@Lh@CB?r@,"POLYGON((-77.04059 38.90393, -77.04057 38.90391, -77.04036 38.90398, -77.04055 38.90428, -77.04071 38.90422, -77.04067 38.90414, -77.04085 38.90408, -77.04085 38.90393, -77.04059 38.90393))",POINT(-77.0405939 38.904049),11253,110010107001002,45,0,false,Subterranean,Non-restricted,Public Parking,"Daily Max: $20, Monthly: $295","Mon-Fri: 7am-8pm, Sat: 8am-6:30pm",LAZ Parking,"27,27,27,28,28,29,29,29,28,28,28,27,26,26,26,25,25,27,27,27,27,28,28,27","27,28,28,28,28,29,29,29,28,28,27,25,24,24,24,24,24,26,26,26,26,27,27,26"
87261,mbmlFjofuM?cEdB??qAz@A@tGcD@??,"POLYGON((-77.04325 38.90149, -77.04186 38.9015, -77.04187 38.9018, -77.04228 38.9018, -77.04228 38.90231, -77.04326 38.90231, -77.04325 38.90149))",POINT(-77.0426687 38.9018138),95416,110010107001017,300,9,true,Subterranean,Non-restricted,Public Parking,"1 Hour: $12, Daily Max: $20, Evening (In After 5pm): $10, Sat: $7, Early Bird (In By 7pm): $15, Monthly: $300-$600, Tax Included","Mon-Fri: 6am-11pm, Sat: 8am-7pm",One Parking,"175,184,185,189,189,189,189,189,190,186,183,176,173,173,173,168,168,175,177,174,176,178,179,179","181,193,193,191,192,192,193,192,190,183,176,168,163,163,163,161,164,171,174,172,174,173,173,173"
349421,esllFp|buMI??MH??L,"POLYGON((-77.02482 38.89987, -77.02482 38.89992, -77.02489 38.89992, -77.02489 38.89987, -77.02482 38.89987))",POINT(-77.0248524444445 38.8998946666667),363,110010058001005,11,0,false,Surface,Valet Only,Public Parking,"Daily Max: $30, Max (With Validation): $19","Mon-Thu: 11am-11pm, Fri-Sat: 11am-12am, Sun: 11am-11pm",CityCenterDC,"7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,7","7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6"
186940,e{mlF`seuMzA??t@eABUy@,"POLYGON((-77.03902 38.90616, -77.039 38.90581, -77.03873 38.90581, -77.03873 38.90627, -77.03902 38.90616))",POINT(-77.0388673 38.906013),11801,110010107002017,47,0,true,Subterranean,Non-restricted,Public Parking,"1 Hour: $10, Daily Max: $17, Evening (In After 5pm): $10, Monthly: $285",Mon-Fri: 7am-7pm,Atlantic Parking,"29,30,30,30,31,31,31,31,30,29,27,26,25,25,25,24,23,25,26,26,27,27,28,29","28,30,30,30,30,30,30,30,29,27,25,23,22,22,22,21,21,23,24,23,24,25,26,27"
80188,olmlFrzfuMFL?nAcA??{Az@A,"POLYGON((-77.04507 38.90422, -77.04553 38.90422, -77.04553 38.90388, -77.04513 38.90388, -77.04506 38.90392, -77.04507 38.90422))",POINT(-77.0452213 38.90407),16250,110010107001005,67,1,true,Subterranean,Non-restricted,Public Parking,"1 Hour: $12, Daily Max: $19, Early Bird (In By 9:30am): $14, Monthly: $275-$540, Tax Included",Mon-Fri: 7am-7pm,Atlantic Parking,"41,40,40,41,41,41,41,41,41,41,40,39,37,37,37,36,37,38,39,39,40,41,42,42","42,42,41,41,41,41,41,41,41,40,39,37,36,36,36,35,36,37,39,39,40,41,41,41"
87193,esmlFnsduMr@??~Bs@@?aC,"POLYGON((-77.03433 38.90499, -77.03432 38.90473, -77.03368 38.90473, -77.03368 38.90499, -77.03433 38.90499))",POINT(-77.033995 38.9048659),17368,110010101002003,70,1,true,Subterranean,Non-restricted,Public Parking,"1 Hour: $12, Daily Max: $17, Early Bird (In By 10am): $13, Evening (In After 5pm): $6, 24 Hours: $35, Monthly: $260-$570",Mon-Fri: 8am-6pm,Colonial Parking,"51,48,49,49,49,50,50,49,49,48,46,44,43,43,43,42,41,43,46,46,47,48,49,52","51,49,50,49,49,49,49,49,49,45,42,39,37,37,37,38,39,41,43,43,44,45,47,50"
80138,abnlF|ufuMe@??eCd@A?fC??,"POLYGON((-77.04363 38.90737, -77.04364 38.90756, -77.04431 38.90756, -77.04431 38.90737, -77.04363 38.90737))",POINT(-77.04397 38.9074588),13282,110010107002006,130,1,true,Subterranean,Non-restricted,Public Parking,"1 Hour: $12, Daily Max: $20, Early Bird (In By 9am): $12.95, Monthly: $274.95-$549.90",Mon-Fri: 6am-3pm,Colonial Parking,"88,84,84,84,85,85,85,85,85,81,79,76,74,74,74,70,71,74,79,80,83,86,88,89","87,84,84,82,82,83,83,82,82,77,74,69,65,65,65,64,66,69,74,74,78,81,83,84"
115047,shllFnffuMlA??pAO??fE_A?@yG,"POLYGON((-77.04325 38.89819, -77.04325 38.89787, -77.04225 38.89787, -77.04225 38.89779, -77.04184 38.89779, -77.04184 38.89818, -77.04325 38.89819))",POINT(-77.0425140884789 38.8980139301814),49402,110010108002004,199,1,false,Subterranean,Non-restricted,Public Parking,"1 Hour: $15, Daily Max: $24.95, Oversize: $30, Monthly: $314.95-$629.90, Tax Included",Mon-Fri: 7am-5pm,Colonial Parking,"109,113,114,114,115,115,115,115,114,111,110,108,105,105,105,100,101,106,109,108,107,108,110,110","109,117,117,115,115,115,115,115,113,107,105,101,98,98,98,95,97,102,106,104,104,104,105,106"
